ID,Industry code,Job title,ISCO-08 - Major,ISCO-08 - Minor,Years of experience,"Digital technology is an umbrella term for mobile, internet and computer-based products and solutions",Digital technology reduces the amount of time required to perform an action,Digital technology is about transferring data from one electronic device to the other,Digital Technology is everything electronic,Digital technology enables knowledge sharing across organisations.,Accounting/ financial management,"Make Bookings (Travel bookings, scheduling meetings, venue booking etc.)",Emailing,Making audio or video calls,Marketing,Printing and scanning,Designing,"Monitoring  (e.g. employees, production, security etc)",Research and development,Training,Filing,US12OTHERS,"The ability to manage and monitor my team, activities, projects etc., whilst not being physically presen",Improved communication tools,Ability to enhance the capacity to perform my job,Ability to do different tasks at once (Multi-tasking),Limited usage of paper (Paperless processes),Less time needed to perform my duties (Time-efficiency),Reduced workload,Improved safety of data,Easy access to content,Stock counting,Cost saving,Improved Customer interactions,Digital technology involves higher costs,"The instability of digital systems (systems going down, load shedding etc.)",Lack of human interactions,The threat of possible retrenchment,Adjusting to and learning new digital technology,Lack of required digital skills,Digital fraud and scamming,Lack of digital upgrade,Lack of required devices,Unavailability of data,"Management (CEOs, Directors, Managers, Supervisors etc.)",IT Department,Communication Department/ Marketing Department,Project coordinators,External stakeholders,Fellow colleagues,No-one,No idea,System Auditor,State-of-the art printers and scanners. Needed,Business WhatsApp. Needed,Hi-tech telephone. Needed,Faster computers and tablets. Needed,Digital filing. Needed,Mobile Applications.Needed,Block chain technology. Needed,Reliable internet. Needed,Smart boards. Needed,Software and web applications. Needed,Automated equipment. Needed,Voice over Internet protocol (VOIP). Needed,Video conferencing applications. Needed,Artificial intelligence. Needed,Faster Wi-Fi connection,Ultra-modern equipment (Upgrade current digital equipment/s),Artificial Intelligence,Internet of Things (IoT),Robots,Scanners,Tracking systems,Voice over internet protocol,No idea 2,"Ability to quickly learn new software (MS packages, accounting packages, designing packages etc.)",Computer literacy,Machine learning,Digital marketing,Artificial Intelligence 2,Developing a Website,The ability to use and understand digital media,My knowledge of digital technologies boosts my confidence,The digital skills that I have acquired open doors to more job opportunities,The usage of digital technologies makes me more knowledgeable,"With the usage of digital technology, I am now able to innovate at work",How much value does the knowledge of digital technology add to your qualification?,High school,In-house training,Peer-learning,Self-taught,Short courses,Tertiary education,Previous work experience,External training/workshops,I have No digital skills.,My organisation supports digital technology usage through accredited training (officially recognized or authorized),Digital technology is promoted through inhouse training in my organisation,My organisation does not have a support system to enhance digital skills,My organisation encourages self-development of staff when it comes to digital technology,Digital skills in my organisation are promoted through external training (trainings conducted outside the organisation),My organisation encourages the staff to acquire digital skills through online training,The use of digital technology exposes to potential financial loss.,The probability of data loss is higher when using digital technology,The possibility of getting scammed and robbed is higher when using digital technology,"Compared to traditional tools such as pen and paper, using digital technology creates more doubts",It takes too much time to learn how to use new digital technology than using traditional tools.,Digital technology is likely to cause me to lose control over the privacy of my personal data,The usage of digital technologies in the workplace is a waste of time,I am NOT interested in using digital skills in my workplace,I don’t see any additional value in using digital technology,The usage of digital technology is too complicated for me,"I can still use my traditional tools, there is no real need for digital technologies",Digital technologies limit my capacity as a human because everything is provided by machines,What is your gender?,What is your year of birth?,What is your highest education level (Only indicate the highest)?,Which racial group do you belong to?,How long have you been in the organisation?,Approximately how many employees work in your organisation?,AGE,understanding
343,S,Receptionist,Clerical support workers,Customer services clerks,"3,0",1,1,1,-1,1,1,5,5,5,5,5,1,3,1,1,5,#NULL!,7,9,9,8,10,9,8,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,6,6,5,7,3,4,3,#NULL!,#NULL!,#NULL!,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,2,1,1,1,2,0,1,1,1,1,1,1,2,#NULL!,1,1,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,#NULL!,4,5,5,5,3,#NULL!,#NULL!,1,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,4,4,2,2,4,4,2,2,2,2,2,2,1,1,1,1,1,1,2,1997,3,1,"3,0",100,22,3.00
344,S,personal trainer,Service and sales workers,Personal service workers,"2,0",1,1,1,-1,1,5,5,5,5,4,4,5,5,5,5,5,#NULL!,1,9,10,6,8,8,8,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,4,2,1,1,1,2,2,#NULL!,#NULL!,#NULL!,1,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,1,0,1,2,1,0,1,1,1,1,1,1,#NULL!,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,#NULL!,#NULL!,1,1,#NULL!,#NULL!,2,1,3,3,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,#NULL!,#NULL!,4,4,2,2,3,5,2,3,3,2,2,2,4,2,2,2,3,4,2,1994,5,1,"2,0",1500,25,3.00
345,S,Hairdresser,Service and sales workers,Personal service workers,"5,0",1,1,1,-1,1,2,4,4,5,2,4,2,3,2,3,2,#NULL!,10,7,5,7,6,8,5,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,9,9,5,3,10,7,9,#NULL!,#NULL!,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,2,2,1,1,2,2,1,1,1,2,1,1,2,1,1,#NULL!,#NULL!,1,1,1,#NULL!,#NULL!,#NULL!,1,#NULL!,1,1,1,1,5,5,4,3,4,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,4,3,1,1,3,3,4,5,3,4,5,4,5,5,4,5,4,4,2,1991,3,1,"5,0",15,28,3.00
346,S,Data Administrator,Technicians and associate professionals,Information and communications technicians,"5,0",1,1,1,-1,1,3,5,5,5,5,5,5,5,5,3,3,#NULL!,10,10,10,10,10,10,10,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,10,10,10,10,10,10,10,#NULL!,#NULL!,#NULL!,1,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,#NULL!,1,1,1,1,1,0,1,1,0,2,2,2,2,2,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,#NULL!,1,1,1,1,1,5,5,5,5,4,#NULL!,1,1,#NULL!,#NULL!,1,1,1,#NULL!,5,5,2,4,2,4,3,3,4,3,3,3,2,2,2,2,4,2,2,1985,4,2,"5,0",12,34,3.00
347,S,Jnr. Technicion,Technicians and associate professionals,Information and communications technicians,"1,0",1,1,-1,0,1,2,5,5,2,5,3,4,2,2,3,2,#NULL!,4,9,10,7,10,9,7,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,8,6,10,4,8,6,7,#NULL!,#NULL!,#NULL!,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,1,0,2,0,2,0,1,2,2,0,2,0,2,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,#NULL!,1,#NULL!,1,#NULL!,3,4,4,4,3,#NULL!,#NULL!,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,4,4,3,3,3,4,2,3,5,2,2,3,1,2,2,1,1,1,1,2001,3,2,"1,0",3,18,2.00
348,S,Administrator,Clerical support workers,Other clerical support workers,"16,0",1,1,1,0,1,4,6,5,4,3,5,6,6,6,6,2,#NULL!,1,7,7,5,6,6,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,5,8,4,3,6,5,2,#NULL!,#NULL!,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,1,#NULL!,#NULL!,#NULL!,0,0,2,2,0,0,0,2,0,0,0,2,0,0,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,#NULL!,1,#NULL!,1,1,4,3,4,3,3,#NULL!,1,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,3,2,4,4,2,3,4,4,4,3,2,2,2,2,2,2,2,2,2,1982,3,2,"0,5",9,37,4.00
349,S,Junior Researcher,Technicians and associate professionals,Science and engineering associate professionals,"2,0",1,1,-1,-1,1,3,2,5,2,2,4,2,5,4,2,4,#NULL!,4,5,6,4,4,5,6,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,6,7,8,5,3,8,8,#NULL!,#NULL!,#NULL!,1,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,2,1,1,1,2,0,1,1,1,1,1,1,1,1,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,#NULL!,#NULL!,1,1,#NULL!,1,5,5,4,5,0,#NULL!,#NULL!,1,1,#NULL!,#NULL!,1,#NULL!,#NULL!,4,2,1,3,1,2,4,4,4,4,2,4,1,1,1,1,2,2,2,1995,4,3,2,10,24,1.00
350,S,Graphic Designer,Professionals,Science and engineering professionals,"5,0",1,1,1,-1,1,5,5,5,5,5,5,5,5,5,5,5,#NULL!,10,5,10,10,10,10,10,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,9,8,6,5,4,6,10,#NULL!,#NULL!,#NULL!,1,1,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,4,1,1,4,1,1,#NULL!,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,1,4,4,3,3,2,3,2,1,5,4,4,4,3,2,1,5,5,2,1985,4,4,"10,0",350,34,3.00
351,S,Account Exceutive,Professionals,Business and administration professionals,"8,0",1,1,-1,-1,1,4,4,5,5,3,5,5,3,5,4,3,#NULL!,9,10,10,10,10,10,7,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,8,5,5,8,7,4,10,#NULL!,#NULL!,#NULL!,1,1,1,1,1,1,#NULL!,#NULL!,#NULL!,1,1,2,1,1,2,2,1,2,1,1,2,1,2,1,1,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,1,1,5,5,5,5,4,#NULL!,#NULL!,1,#NULL!,#NULL!,1,1,#NULL!,#NULL!,5,5,1,5,1,3,3,2,4,3,2,4,1,1,1,1,3,1,2,1978,4,4,"2,0",100,41,1.00
352,S,Teamleader,Other,Teamleader,"5,0",1,1,1,-1,1,5,5,5,5,5,5,5,5,5,5,5,#NULL!,10,10,10,10,10,10,10,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3,4,3,3,4,4,3,#NULL!,#NULL!,#NULL!,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,#NULL!,#NULL!,#NULL!,1,1,#NULL!,5,4,5,5,4,#NULL!,1,#NULL!,#NULL!,#NULL!,1,1,1,#NULL!,5,5,5,5,5,5,2,2,2,1,1,2,1,2,2,1,2,2,1,1982,3,4,"5,0",75,37,3.00
60,T,Project Coordinator,Professionals,Business and administration professionals,9,1,1,1,-1,1,3,5,5,5,5,5,5,5,5,5,3,#NULL!,5,10,10,10,6,6,7,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,10,9,10,10,7,10,5,#NULL!,#NULL!,#NULL!,1,0,1,1,1,0,0,0,0,1,1,1,1,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,5,5,5,5,4,1,1,0,0,0,1,1,1,0,5,3,4,4,3,1,2,2,3,1,1,1,1,1,1,1,1,1,2,1984,6,1,3,400,35,3.00
61,T,Marketing and Branch coordinator,Technicians and associate professionals,Business and administration associate professionals,1,1,1,1,0,1,3,5,5,5,5,5,4,2,4,5,5,#NULL!,6,10,10,10,1,10,10,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,10,8,10,10,8,5,10,#NULL!,#NULL!,#NULL!,1,0,0,1,0,0,0,0,0,1,1,2,1,1,1,0,1,0,2,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,5,5,5,5,0,1,1,1,1,1,1,1,1,0,3,3,4,5,1,4,3,5,5,1,1,5,1,1,1,1,1,1,1,1997,5,2,1,10,22,4.00
62,T,Private Tutoring and IT Coordinator,Technicians and associate professionals,Business and administration associate professionals,1,1,1,1,0,1,5,5,5,5,5,5,5,5,5,2,2,#NULL!,10,10,10,10,10,10,10,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,10,10,10,10,10,10,10,#NULL!,#NULL!,#NULL!,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,5,5,5,5,4,0,0,0,0,0,1,0,0,0,2,2,5,1,1,1,5,3,5,4,1,5,1,1,1,1,1,5,1,1992,5,1,1,100,27,4.00
63,T,Employee,Other,Employee,2.5,1,1,1,-1,1,5,5,5,5,5,5,5,5,5,4,4,#NULL!,7,10,8,5,7,8,9,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,5,5,5,6,6,9,5,#NULL!,#NULL!,#NULL!,1,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,1,0,1,0,2,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,4,4,4,4,4,0,0,0,0,0,1,0,0,0,4,4,1,3,3,3,3,4,4,4,4,3,1,1,1,1,1,4,1,1991,5,1,2,12,28,3.00
64,T,Gardener,Elementary occupations,"Agricultural, forestry and fishery labourers ",2,1,1,-1,-1,1,6,6,6,6,6,6,6,6,6,6,6,#NULL!,1,1,1,1,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,1,1,1,1,#NULL!,#NULL!,#NULL!,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,1,0,0,0,0,1,0,0,0,0,0,1,1,5,1,1,1,1,1,4,2,2,2,1,1,1,1,2,1,1,1994,3,1,3,5,25,1.00
65,T,General Worker,Other,General Worker,1,1,1,1,-1,1,2,4,5,5,5,4,4,5,5,5,1,#NULL!,8,9,8,7,9,8,9,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,9,9,3,9,7,8,9,#NULL!,#NULL!,#NULL!,1,0,0,0,0,0,0,0,0,2,1,1,1,1,1,2,2,2,1,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,4,3,3,1,0,0,0,0,0,0,0,0,2,1,4,1,1,1,3,3,5,3,5,5,3,1,1,1,3,3,1,1996,3,1,1,6,23,3.00
66,T,Head of Administration,Managers,Administrative and commercial managers,1,1,1,-1,-1,1,4,5,5,5,5,4,5,2,2,2,3,#NULL!,10,8,8,10,10,10,7,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,8,10,7,5,3,5,7,#NULL!,#NULL!,#NULL!,1,0,0,1,1,0,0,0,0,1,1,0,1,2,2,0,1,0,2,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,3,4,3,4,3,1,0,1,1,0,1,1,0,0,2,2,3,4,2,2,4,4,4,2,2,4,1,1,1,2,1,2,1,1994,6,1,1,3,25,1.00
211,T,Customer support,Clerical support workers,Customer services clerks,3,1,1,1,-1,1,5,5,4,4,5,4,5,5,6,4,6,#NULL!,10,10,10,10,10,10,10,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,7,6,10,6,8,9,7,#NULL!,#NULL!,#NULL!,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,4,5,5,3,0,1,0,0,0,0,0,0,0,5,5,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,1983,3,1,3.5,600,36,3.00
212,T,sales admin,Clerical support workers,Other clerical support workers,3,1,1,1,-1,1,4,4,5,5,5,5,5,3,5,5,5,#NULL!,10,10,10,9,10,10,9,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,8,5,7,4,9,5,3,#NULL!,#NULL!,#NULL!,1,1,1,0,1,1,0,0,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,5,5,5,5,4,1,1,0,1,0,0,1,1,0,3,4,2,3,3,3,3,4,5,2,2,2,2,1,1,1,1,1,1,1994,3,1,1,157,25,3.00
213,T,Receptionist,Clerical support workers,Customer services clerks,2,1,1,1,-1,1,2,5,4,5,2,3,2,2,3,3,3,#NULL!,5,7,8,9,9,9,9,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,5,5,6,6,7,3,6,#NULL!,#NULL!,#NULL!,1,1,1,1,0,0,0,0,0,1,1,1,1,2,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,5,5,5,4,3,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,3,3,4,3,2,3,1,1,1,1,1,1,2,1992,3,1,1,800,27,3.00
214,T,Cleaner,Elementary occupations,Cleaners and helpers ,4,1,1,1,0,1,3,5,3,2,2,4,2,3,5,3,3,2,5,3,1,3,4,6,5,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,10,10,10,10,10,#NULL!,#NULL!,#NULL!,1,0,0,0,0,0,0,0,0,2,0,0,1,1,1,2,1,2,1,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,4,4,3,4,4,1,1,1,1,0,0,1,0,0,3,2,1,4,2,4,4,4,5,4,3,3,2,2,3,4,3,5,2,1995,3,1,2 months,#NULL!,24,4.00
215,T,horticulturist,"Skilled agricultural, forestry and fishery workers",Market-oriented skilled agricultural workers,9,1,1,1,-1,1,5,5,5,3,5,5,6,6,5,5,5,#NULL!,6,10,10,10,10,5,8,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,8,5,5,8,8,1,6,#NULL!,#NULL!,#NULL!,1,0,0,0,0,0,0,0,0,1,1,0,1,2,1,0,1,0,2,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,4,5,5,5,3,0,0,0,0,0,1,0,0,0,2,2,4,4,2,2,1,1,3,3,4,1,1,1,1,1,1,1,1,1986,4,1,9,33,33,3.00
216,T,Employee,Other,Employee,2,1,1,1,-1,1,5,6,5,5,5,3,3,6,5,3,5,#NULL!,6,10,9,9,10,9,10,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,8,6,8,6,8,7,5,#NULL!,#NULL!,#NULL!,0,1,0,0,0,0,0,0,0,1,2,2,2,0,1,0,2,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,5,5,5,5,4,0,0,0,0,0,1,0,0,0,3,2,3,3,3,4,4,4,4,4,1,3,1,1,1,1,1,5,2,1993,4,1,1,30,26,3.00
217,T,Phys sale person,Service and sales workers,Sales workers,10,1,1,1,-1,1,6,6,6,6,6,6,6,6,6,6,6,#NULL!,1,1,1,1,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,1,1,1,1,#NULL!,#NULL!,#NULL!,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,5,5,5,5,3,2,2,2,4,5,5,1,1967,3,1,10,32,52,3.00
353,U,Project Coordinator,Professionals,Business and administration professionals,"3,0",1,1,1,-1,1,4,4,4,5,5,5,5,4,5,4,4,#NULL!,7,10,9,10,10,10,9,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,9,9,10,9,5,7,9,#NULL!,#NULL!,#NULL!,1,#NULL!,1,#NULL!,1,1,#NULL!,#NULL!,#NULL!,1,1,2,1,1,1,2,1,2,2,2,2,2,2,1,1,#NULL!,1,#NULL!,#NULL!,#NULL!,1,#NULL!,1,1,1,1,1,1,1,5,5,5,5,4,#NULL!,#NULL!,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,4,4,4,5,4,5,3,3,4,2,2,2,1,1,1,1,1,1,1,1986,3,1,"5,0",10,33,3.00
354,U,Youth ambassador,Other,,"1,0",1,1,1,-1,1,5,4,5,5,4,5,4,5,5,3,4,#NULL!,9,10,10,10,10,10,9,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3,5,1,5,6,5,8,#NULL!,#NULL!,#NULL!,1,1,1,1,1,1,#NULL!,#NULL!,#NULL!,1,1,1,1,1,1,0,1,2,1,2,2,1,2,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,#NULL!,#NULL!,1,1,#NULL!,1,#NULL!,1,1,5,5,5,5,4,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,4,4,1,4,3,3,1,1,2,1,1,3,1,1,1,1,1,1,2,1984,3,1,"2,0",1000,35,3.00
355,U,personnel Officer,Clerical support workers,Other clerical support workers,"9,0",1,1,1,-1,1,1,1,2,2,1,1,3,4,3,1,1,#NULL!,10,9,10,10,9,9,9,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,7,2,3,6,4,4,3,#NULL!,#NULL!,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,0,1,1,1,2,0,1,0,2,1,1,1,2,#NULL!,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,#NULL!,#NULL!,5,5,5,5,3,#NULL!,#NULL!,#NULL!,1,#NULL!,1,1,#NULL!,#NULL!,4,4,2,4,2,4,2,2,2,1,1,2,1,1,1,1,1,1,2,1985,4,1,"6,0",100,34,3.00
356,U,Paralegal,Technicians and associate professionals,"Legal, social, cultural and related associate professionals","8,0",1,1,1,-1,1,4,4,5,5,2,5,1,5,5,2,2,#NULL!,9,10,8,10,10,10,10,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,7,2,10,10,8,1,8,#NULL!,#NULL!,#NULL!,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,1,2,2,0,1,2,1,2,2,1,0,1,1,#NULL!,1,#NULL!,1,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,1,1,1,1,1,1,4,#NULL!,#NULL!,#NULL!,1,#NULL!,1,1,1,#NULL!,2,4,2,1,2,2,2,2,4,2,1,5,1,1,1,1,1,5,2,1981,4,1,"8,0",2700,38,3.00
357,U,Content Writer,Professionals,"Legal, social and cultural professionals","10,0",1,1,-1,-1,1,2,5,5,2,5,5,5,5,5,2,4,#NULL!,3,10,10,10,10,5,10,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,5,5,5,10,5,10,10,#NULL!,#NULL!,#NULL!,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,1,1,1,0,1,0,1,2,0,1,0,1,#NULL!,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,1,#NULL!,5,5,5,5,3,#NULL!,#NULL!,#NULL!,1,1,#NULL!,1,#NULL!,#NULL!,5,5,2,5,2,3,1,1,5,1,4,1,1,1,1,2,1,1,1,1981,5,1,"3,0",36,38,1.00
358,U,Social Worker,Professionals,"Legal, social and cultural professionals","11,0",1,1,1,-1,1,3,2,5,2,2,4,1,1,1,2,1,#NULL!,7,7,7,6,8,7,6,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,7,8,9,8,9,9,9,#NULL!,#NULL!,#NULL!,1,#NULL!,#NULL!,#NULL!,1,1,#NULL!,#NULL!,#NULL!,0,0,2,2,1,2,0,1,0,2,0,0,0,0,1,1,#NULL!,#NULL!,#NULL!,1,#NULL!,#NULL!,#NULL!,1,1,#NULL!,1,#NULL!,1,#NULL!,4,4,4,4,4,1,#NULL!,#NULL!,1,#NULL!,1,1,#NULL!,#NULL!,4,4,4,4,3,3,4,2,4,2,2,2,2,2,2,2,2,2,2,1968,4,1,"2,0",4,51,3.00
359,U,Social Worker,Professionals,"Legal, social and cultural professionals","11,0",1,1,1,0,-1,4,2,5,5,2,5,1,1,2,1,2,#NULL!,1,10,5,5,6,6,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,2,3,2,2,2,4,#NULL!,#NULL!,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,0,2,2,2,0,0,1,2,2,0,2,2,0,1,1,#NULL!,#NULL!,#NULL!,1,1,#NULL!,#NULL!,#NULL!,1,1,#NULL!,#NULL!,1,1,3,3,4,3,0,#NULL!,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,3,3,4,1,1,3,4,3,4,3,4,3,1,1,1,1,2,4,2,1983,5,1,"7,0",13,36,2.00
360,U,Office Manager,Technicians and associate professionals,Business and administration associate professionals,"35,0",1,1,1,0,1,5,1,5,5,2,5,5,5,1,1,5,#NULL!,7,7,9,10,10,10,10,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,7,4,6,1,4,1,4,#NULL!,#NULL!,#NULL!,1,1,1,1,1,1,1,1,#NULL!,1,0,0,1,0,0,0,1,0,0,1,0,0,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,1,4,4,4,5,4,#NULL!,#NULL!,1,1,#NULL!,#NULL!,1,#NULL!,#NULL!,5,2,2,3,1,5,4,2,5,2,1,1,1,1,1,1,2,1,2,1960,5,2,"6,0",4,59,4.00
361,U,Director,Managers,"Chief executives, senior officials and legislators","2,0",1,1,1,-1,1,3,3,4,4,5,3,4,3,4,5,3,#NULL!,2,3,1,5,9,8,10,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,5,6,4,7,8,3,9,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,2,2,0,1,2,0,2,2,2,1,1,2,2,1,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,3,4,2,5,4,1,#NULL!,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,2,3,4,5,3,2,2,3,4,4,3,4,4,3,4,4,3,2,1988,4,2,"2,0",2,31,3.00
362,U,Accommodation Care Partner,Clerical support workers,Customer services clerks,"4,0",1,1,1,-1,1,2,2,5,5,2,5,5,2,5,2,2,#NULL!,3,7,8,8,9,9,9,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,8,8,4,5,2,2,7,#NULL!,#NULL!,#NULL!,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,0,0,2,2,2,0,2,2,0,0,2,2,0,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,#NULL!,1,#NULL!,1,1,#NULL!,1,1,4,4,4,4,4,#NULL!,#NULL!,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,4,4,4,4,4,4,3,4,4,3,2,2,1,1,1,1,1,1,2,1987,3,2,"4,0",#NULL!,32,3.00
